delivery_id,city,customer_id,scheduled_datetime,delivered_datetime,status,delay_minutes,carrier,distance_km,weight_kg
D00001,Cape Town,15390,6/12/2025 13:00,6/13/2025 7:55,Delivered,31,SwiftX,135,1.5
D00002,Bloemfontein,16949,5/2/2025 17:00,5/2/2025 22:36,Delivered,0,MegaHaul,1342,26.5
D00003,Cape Town,18666,6/28/2025 15:00,6/29/2025 4:39,Delivered,60,SwiftX,194,5
D00004,Durban,17734,6/21/2025 14:00,6/22/2025 10:14,Delivered,0,MegaHaul,651,8.9
D00005,Johannesburg,18792,6/29/2025 7:00,6/29/2025 20:56,Delivered,0,MegaHaul,960,6.5
D00006,Cape Town,18226,5/14/2025 6:00,5/15/2025 0:05,Delivered,0,SkyDrop,570,27.6
D00007,Johannesburg,16873,6/13/2025 7:00,6/13/2025 11:21,Delivered,0,SkyDrop,274,36.5
D00008,Cape Town,19467,6/26/2025 13:00,6/27/2025 1:59,Delivered,0,RoadRunner,883,41.5
D00009,Cape Town,16331,6/29/2025 14:00,6/30/2025 10:40,Delivered,0,MegaHaul,69,1.3
D00010,Cape Town,12027,5/8/2025 13:00,5/9/2025 8:06,Delivered,0,SwiftX,597,35.7
D00011,Pretoria,15892,6/11/2025 12:00,6/12/2025 6:30,Delivered,33,SkyDrop,934,5.2
D00012,Cape Town,18996,6/4/2025 17:00,6/5/2025 6:05,Delivered,0,RoadRunner,965,19.5
D00013,Bloemfontein,13840,5/5/2025 15:00,5/6/2025 0:22,Delivered,0,SkyDrop,875,2.5
D00014,Pretoria,17721,6/29/2025 8:00,6/29/2025 23:23,Delivered,0,RoadRunner,568,28.4
D00015,Pretoria,17574,6/8/2025 16:00,6/9/2025 2:59,Delivered,59,SwiftX,1188,30.1
D00016,Pretoria,19789,6/26/2025 10:00,6/26/2025 21:48,Delivered,3,MegaHaul,1359,16.6
D00017,Johannesburg,17392,5/1/2025 14:00,5/2/2025 12:46,Delivered,0,SwiftX,632,18
D00018,Cape Town,15575,5/27/2025 14:00,5/27/2025 20:23,Delivered,6,RoadRunner,1402,11.3
D00019,Durban,15232,6/18/2025 15:00,6/19/2025 1:23,Delivered,0,MegaHaul,1414,35.8
D00020,Johannesburg,10698,6/18/2025 7:00,6/18/2025 18:57,Delivered,16,MegaHaul,389,12.4
D00021,Johannesburg,15791,5/6/2025 12:00,5/7/2025 3:05,Delivered,10,MegaHaul,1212,12.3
D00022,Pretoria,18004,6/21/2025 7:00,6/21/2025 11:57,Delivered,40,MegaHaul,1229,16.4
D00023,Johannesburg,19986,5/20/2025 17:00,5/21/2025 10:35,Delivered,41,SwiftX,1374,25.8
D00024,Johannesburg,11734,6/21/2025 14:00,6/22/2025 7:37,Delivered,69,MegaHaul,477,10.8
D00025,Durban,10262,6/29/2025 15:00,6/30/2025 2:23,Delivered,0,RoadRunner,885,12.5
D00026,Johannesburg,14548,6/6/2025 16:00,6/7/2025 10:16,Delivered,22,MegaHaul,1127,35.2
D00027,Gqeberha,16295,6/23/2025 13:00,6/24/2025 0:58,Delivered,31,MegaHaul,918,8.5
D00028,Durban,10956,6/10/2025 9:00,6/10/2025 12:40,Delivered,0,RoadRunner,402,16.6
D00029,Pretoria,11218,5/17/2025 6:00,5/17/2025 18:27,Delivered,0,MegaHaul,754,29.7
D00030,Bloemfontein,15895,5/27/2025 16:00,5/27/2025 20:45,Delivered,0,SkyDrop,288,33.6
D00031,Gqeberha,17996,6/17/2025 8:00,6/17/2025 18:06,Delivered,0,MegaHaul,21,49.7
D00032,Cape Town,13444,5/6/2025 8:00,5/7/2025 2:40,Delivered,0,RoadRunner,501,27.9
D00033,Durban,15088,6/21/2025 10:00,6/22/2025 2:27,Delivered,0,MegaHaul,1284,24.5
D00034,Cape Town,15854,6/23/2025 15:00,6/24/2025 14:26,Delivered,0,RoadRunner,630,30.9
D00035,Bloemfontein,17806,5/27/2025 15:00,5/28/2025 5:04,Delivered,0,RoadRunner,1421,35.3
D00036,Cape Town,15801,6/24/2025 15:00,6/25/2025 7:20,Delivered,0,SwiftX,832,25.8
D00037,Durban,12368,5/8/2025 17:00,5/9/2025 1:50,Delivered,0,SwiftX,858,16.7
D00038,Johannesburg,11148,5/22/2025 15:00,5/23/2025 3:09,Delivered,100,RoadRunner,686,41.2
D00039,Cape Town,13124,6/29/2025 17:00,6/29/2025 18:08,Delivered,4,MegaHaul,1378,27.3
D00040,Durban,16799,5/13/2025 7:00,5/13/2025 18:35,Delivered,0,MegaHaul,661,20.2
D00041,Cape Town,19561,6/6/2025 15:00,6/6/2025 18:33,Delivered,37,RoadRunner,1155,35
D00042,Cape Town,10512,6/16/2025 7:00,6/17/2025 3:36,Delivered,57,RoadRunner,901,47.8
D00043,Pretoria,10580,5/22/2025 12:00,5/23/2025 7:19,Delivered,0,SkyDrop,1463,38
D00044,Johannesburg,19435,5/5/2025 6:00,5/5/2025 8:33,Delivered,0,RoadRunner,1016,9.2
D00045,Johannesburg,12479,5/21/2025 12:00,5/22/2025 12:02,Delivered,70,RoadRunner,361,20.2
D00046,Durban,12849,6/21/2025 15:00,6/22/2025 4:41,Delivered,0,SwiftX,773,27.2
D00047,Pretoria,12839,5/16/2025 12:00,5/16/2025 18:02,Delivered,45,MegaHaul,694,28.9
D00048,Johannesburg,12738,6/12/2025 10:00,6/13/2025 8:56,Delivered,25,SwiftX,1445,32.7
D00049,Johannesburg,14107,5/31/2025 7:00,6/1/2025 5:16,Delivered,0,SwiftX,780,19.6
D00050,Pretoria,10417,6/20/2025 14:00,6/21/2025 11:19,Delivered,0,RoadRunner,1103,43.9
D00051,Pretoria,17164,6/26/2025 9:00,6/26/2025 17:36,Delivered,0,SwiftX,743,49.5
D00052,Cape Town,15104,6/8/2025 13:00,6/9/2025 1:02,Delivered,0,RoadRunner,41,12.3
D00053,Durban,12914,6/10/2025 6:00,6/10/2025 8:29,Delivered,28,SkyDrop,733,16.3
D00054,Gqeberha,10395,6/10/2025 8:00,6/10/2025 10:39,Delivered,24,SwiftX,855,24.9
D00055,Johannesburg,17266,5/12/2025 14:00,5/13/2025 6:47,Delivered,0,SwiftX,1179,39.2
D00056,Johannesburg,15161,6/27/2025 12:00,6/27/2025 20:07,Delivered,30,SwiftX,1161,37
D00057,Durban,16801,6/16/2025 17:00,6/17/2025 11:12,Delivered,0,SkyDrop,496,43.4
